Jaylen Adams,Jaylen Adams,Atlanta Hawks,2019,"$100,000"
Steven Adams,Steven Adams,Oklahoma City Thunder,2019,"$25,842,697"
Steven Adams,Steven Adams,Oklahoma City Thunder,2020,"$27,528,090"
Bam Adebayo,Bam Adebayo,Miami Heat,2019,"$3,454,080"
Bam Adebayo,Bam Adebayo,Miami Heat,2020,"$5,115,492"
Cole Aldrich,Cole Aldrich,Minnesota Timberwolves,2019,"$685,340"
Cole Aldrich,Cole Aldrich,Minnesota Timberwolves,2020,"$685,340"
LaMarcus Aldridge,LaMarcus Aldridge,San Antonio Spurs,2019,"$26,000,000"
LaMarcus Aldridge,LaMarcus Aldridge,San Antonio Spurs,2020,"$24,000,000"
Nickeil Alexander-Walker,Nickeil Alexander-Walker,New Orleans Pelicans,2019,"$2,964,840"
Nickeil Alexander-Walker,Nickeil Alexander-Walker,New Orleans Pelicans,2020,"$3,113,160"
Nickeil Alexander-Walker,Nickeil Alexander-Walker,New Orleans Pelicans,2021,"$3,261,480"
Nickeil Alexander-Walker,Nickeil Alexander-Walker,New Orleans Pelicans,2022,"$5,009,633"
Grayson Allen,Grayson Allen,Memphis Grizzlies,2019,"$2,429,400"
Grayson Allen,Grayson Allen,Memphis Grizzlies,2020,"$2,545,320"
Grayson Allen,Grayson Allen,Memphis Grizzlies,2021,"$4,054,695"
Jarrett Allen,Jarrett Allen,Brooklyn Nets,2019,"$2,376,840"
Jarrett Allen,Jarrett Allen,Brooklyn Nets,2020,"$3,909,902"
Al-Farouq Aminu,Al-Farouq Aminu,Orlando Magic,2019,"$9,258,000"
Al-Farouq Aminu,Al-Farouq Aminu,Orlando Magic,2020,"$9,720,900"
Al-Farouq Aminu,Al-Farouq Aminu,Orlando Magic,2021,"$10,183,800"
Justin Anderson,Justin Anderson,Brooklyn Nets,2019,"$98,144"
Kyle Anderson,Kyle Anderson,Memphis Grizzlies,2019,"$9,073,050"
Kyle Anderson,Kyle Anderson,Memphis Grizzlies,2020,"$9,505,100"
Kyle Anderson,Kyle Anderson,Memphis Grizzlies,2021,"$9,937,150"
Ryan Anderson,Ryan Anderson,Houston Rockets,2019,"$500,000"
Giannis Antetokounmpo,Giannis Antetokounmpo,Milwaukee Bucks,2019,"$25,842,697"
Giannis Antetokounmpo,Giannis Antetokounmpo,Milwaukee Bucks,2020,"$27,528,090"
Thanasis Antetokounmpo,Thanasis Antetokounmpo,Milwaukee Bucks,2019,"$1,445,697"
Thanasis Antetokounmpo,Thanasis Antetokounmpo,Milwaukee Bucks,2020,"$1,701,593"
Carmelo Anthony,Carmelo Anthony,Portland Trail Blazers,2019,"$2,159,029"
OG Anunoby,OG Anunoby,Toronto Raptors,2019,"$2,281,800"
OG Anunoby,OG Anunoby,Toronto Raptors,2020,"$3,872,215"
Ryan Arcidiacono,Ryan Arcidiacono,Chicago Bulls,2019,"$3,000,000"
Ryan Arcidiacono,Ryan Arcidiacono,Chicago Bulls,2020,"$3,000,000"
Ryan Arcidiacono,Ryan Arcidiacono,Chicago Bulls,2021,"$3,000,000"
Trevor Ariza,Trevor Ariza,Portland Trail Blazers,2019,"$12,200,000"
Trevor Ariza,Trevor Ariza,Portland Trail Blazers,2020,"$12,800,000"
D.J. Augustin,D.J. Augustin,Orlando Magic,2019,"$7,250,000"
Deandre Ayton,Deandre Ayton,Phoenix Suns,2019,"$9,562,920"
Deandre Ayton,Deandre Ayton,Phoenix Suns,2020,"$10,018,200"
Deandre Ayton,Deandre Ayton,Phoenix Suns,2021,"$12,632,950"
Dwayne Bacon,Dwayne Bacon,Charlotte Hornets,2019,"$1,618,520"
Marvin Bagley III,Marvin Bagley III,Sacramento Kings,2019,"$8,556,120"
