Álex Abrines,2017,23,OKC,NBA,SG,68,6,1055,6.2,15.9,.393,4.4,11.5,.381,1.9,4.4,.426,2.0,2.3,.898,0.8,3.2,4.0,1.9,1.7,0.4,1.5,5.3,18.9,,113,110
Álex Abrines,2018,24,OKC,NBA,SG,75,8,1134,5.0,12.7,.395,3.7,9.7,.380,1.4,3.1,.443,1.7,2.0,.848,1.1,3.9,5.0,1.2,1.7,0.4,1.1,5.4,15.4,,116,110
Álex Abrines,2019,25,OKC,NBA,SG,31,2,588,4.4,12.5,.357,3.3,10.1,.323,1.2,2.4,.500,1.0,1.0,.923,0.4,3.4,3.8,1.6,1.3,0.5,1.1,4.2,13.1,,103,111
Quincy Acy,2013,22,TOR,NBA,PF,29,0,342,6.5,11.6,.560,0.2,0.3,.500,6.4,11.3,.562,4.8,5.9,.816,4.7,7.3,12.0,1.7,2.0,2.3,2.6,8.2,18.0,,120,105
Quincy Acy,2014,23,TOT,NBA,SF,63,0,847,4.0,8.5,.468,0.2,0.9,.267,3.7,7.6,.492,2.1,3.2,.660,4.3,8.7,13.0,1.7,1.4,1.6,1.8,7.3,10.3,,109,107
Quincy Acy,2014,23,TOR,NBA,SF,7,0,61,5.1,12.0,.429,1.7,4.3,.400,3.4,7.7,.444,4.3,6.9,.625,4.3,8.6,12.9,3.4,3.4,2.6,1.7,6.9,16.3,,118,98
Quincy Acy,2014,23,SAC,NBA,SF,56,0,786,3.9,8.2,.472,0.1,0.6,.200,3.8,7.6,.496,1.9,2.9,.667,4.3,8.7,13.0,1.6,1.2,1.5,1.8,7.4,9.8,,109,107
Quincy Acy,2015,24,NYK,NBA,PF,68,22,1287,6.2,13.5,.459,0.7,2.5,.300,5.5,11.1,.494,3.1,4.0,.784,3.2,9.1,12.3,2.8,1.1,0.9,2.5,6.0,16.3,,105,109
Quincy Acy,2016,25,SAC,NBA,PF,59,29,876,6.5,11.7,.556,1.0,2.7,.388,5.5,9.0,.606,2.7,3.7,.735,3.6,6.7,10.3,1.5,1.6,1.3,1.5,5.6,16.8,,124,108
Quincy Acy,2017,26,TOT,NBA,PF,38,1,558,6.0,14.6,.412,3.2,7.7,.411,2.8,6.8,.413,3.9,5.1,.750,1.7,8.1,9.8,1.5,1.2,1.3,1.8,5.7,19.0,,109,110
Quincy Acy,2017,26,DAL,NBA,PF,6,0,48,5.4,18.4,.294,1.1,7.6,.143,4.3,10.8,.400,2.2,3.3,.667,2.2,6.5,8.7,0.0,0.0,0.0,2.2,9.8,14.1,,71,113
Quincy Acy,2017,26,BRK,NBA,PF,32,1,510,6.0,14.2,.425,3.3,7.7,.434,2.7,6.5,.414,4.0,5.3,.754,1.7,8.3,9.9,1.7,1.3,1.4,1.8,5.4,19.4,,113,110
Quincy Acy,2018,27,BRK,NBA,PF,70,8,1359,4.6,13.0,.356,3.6,10.4,.349,1.0,2.6,.384,1.8,2.1,.817,1.4,7.8,9.2,2.0,1.2,1.0,2.1,5.3,14.7,,99,110
Quincy Acy,2019,28,PHO,NBA,PF,10,0,123,1.6,7.0,.222,0.8,5.8,.133,0.8,1.2,.667,2.7,3.9,.700,1.2,8.5,9.7,3.1,0.4,1.6,1.6,9.3,6.6,,87,116
Jaylen Adams,2019,22,ATL,NBA,PG,34,1,428,4.1,11.9,.345,2.7,8.0,.338,1.4,3.9,.361,0.8,1.0,.778,1.2,5.3,6.5,7.0,1.5,0.5,3.0,4.9,11.7,,99,115
Steven Adams,2014,20,OKC,NBA,C,81,20,1197,3.9,7.8,.503,0.0,0.0,,3.9,7.8,.503,3.3,5.7,.581,6.0,8.0,13.9,1.8,1.7,2.4,3.0,8.5,11.1,,108,102
Steven Adams,2015,21,OKC,NBA,C,70,67,1771,6.1,11.3,.544,0.0,0.1,.000,6.1,11.2,.547,2.9,5.8,.502,5.6,9.2,14.8,1.9,1.1,2.4,2.8,6.3,15.2,,108,104
Steven Adams,2016,22,OKC,NBA,C,80,80,2014,6.4,10.5,.613,0.0,0.0,,6.4,10.5,.613,2.8,4.8,.582,5.4,7.7,13.1,1.5,1.0,2.2,2.1,5.5,15.7,,123,105
Steven Adams,2017,23,OKC,NBA,C,80,80,2389,7.7,13.5,.571,0.0,0.0,.000,7.7,13.4,.572,3.2,5.3,.611,5.8,6.8,12.6,1.8,1.8,1.6,3.0,4.0,18.6,,114,107
Steven Adams,2018,24,OKC,NBA,C,76,76,2487,8.9,14.2,.629,0.0,0.0,.000,8.9,14.2,.631,3.2,5.7,.559,7.7,6.0,13.7,1.8,1.8,1.6,2.6,4.3,21.1,,125,107
Steven Adams,2019,25,OKC,NBA,C,80,80,2669,8.4,14.1,.595,0.0,0.0,.000,8.4,14.1,.596,2.6,5.1,.500,6.8,6.5,13.3,2.2,2.0,1.3,2.4,3.6,19.4,,120,106
Steven Adams,2020,26,OKC,NBA,C,58,58,1564,8.2,13.8,.591,0.0,0.1,.333,8.1,13.7,.593,3.4,5.7,.590,6.1,10.8,16.9,4.4,1.6,2.0,2.7,3.5,19.7,,123,106
Bam Adebayo,2018,20,MIA,NBA,C,69,19,1368,6.4,12.5,.512,0.0,0.3,.000,6.4,12.2,.523,4.7,6.6,.721,4.3,9.7,14.0,3.7,1.2,1.5,2.4,5.1,17.5,,116,105
Bam Adebayo,2019,21,MIA,NBA,C,82,28,1913,7.2,12.4,.576,0.1,0.4,.200,7.1,12.0,.588,4.2,5.8,.735,4.2,11.0,15.2,4.7,1.8,1.7,3.1,5.2,18.6,,120,104
Bam Adebayo,2020,22,MIA,NBA,PF,65,65,2235,8.9,15.7,.567,0.0,0.3,.077,8.9,15.5,.576,5.2,7.5,.690,3.6,11.3,15.0,7.3,1.7,1.9,4.0,3.6,23.1,,117,106
Deng Adel,2019,21,CLE,NBA,SF,19,3,194,2.8,9.2,.306,1.5,5.9,.261,1.3,3.3,.385,1.0,1.0,1.000,0.8,4.1,4.9,1.3,0.3,1.0,1.5,3.3,8.2,,85,121
Alexis Ajinça,2009,20,CHA,NBA,PF,31,4,182,7.5,20.6,.362,0.0,0.6,.000,7.5,20.0,.373,6.0,8.4,.714,2.7,6.3,9.0,0.9,2.1,1.8,3.6,10.2,20.9,,86,104
Alexis Ajinça,2010,21,CHA,NBA,C,6,0,30,8.9,17.7,.500,0.0,0.0,,8.9,17.7,.500,0.0,1.8,.000,1.8,5.3,7.1,0.0,1.8,1.8,3.5,8.9,17.7,,81,103
Alexis Ajinça,2011,22,TOT,NBA,C,34,2,340,9.0,20.3,.444,1.8,5.2,.353,7.2,15.1,.475,2.0,2.7,.722,2.6,9.3,11.9,1.5,1.7,2.9,2.7,11.1,21.8,,98,107
Alexis Ajinça,2011,22,DAL,NBA,C,10,2,75,8.4,22.4,.375,2.1,4.9,.429,6.3,17.5,.360,1.4,2.1,.667,3.5,8.4,11.9,1.4,2.1,3.5,0.7,9.1,20.3,,97,100
Alexis Ajinça,2011,22,TOR,NBA,C,24,0,265,9.2,19.7,.465,1.8,5.3,.333,7.4,14.4,.514,2.1,2.9,.733,2.3,9.6,11.9,1.6,1.6,2.7,3.3,11.7,22.2,,99,108
Alexis Ajinça,2014,25,NOP,NBA,C,56,30,951,7.4,13.6,.546,0.0,0.1,.000,7.4,13.6,.548,3.1,3.7,.836,5.1,10.0,15.2,2.2,1.3,2.5,3.4,10.2,18.0,,110,107
Alexis Ajinça,2015,26,NOP,NBA,C,68,8,957,9.9,18.1,.550,0.0,0.0,,9.9,18.1,.550,4.4,5.4,.818,5.7,11.6,17.3,2.6,1.2,2.8,3.8,8.3,24.3,,113,103
Alexis Ajinça,2016,27,NOP,NBA,C,59,17,861,8.6,18.1,.476,0.0,0.1,.000,8.6,18.1,.478,3.0,3.6,.839,4.3,11.2,15.5,1.8,1.1,2.1,3.1,7.7,20.3,,100,107
Alexis Ajinça,2017,28,NOP,NBA,C,39,15,584,7.5,14.9,.500,0.0,0.3,.000,7.5,14.6,.511,2.4,3.4,.725,3.9,11.0,14.8,1.0,1.7,1.8,2.6,6.5,17.4,,101,104
DeVaughn Akoon-Purcell,2019,25,DEN,NBA,SG,7,0,22,6.7,22.3,.300,0.0,8.9,.000,6.7,13.4,.500,2.2,4.5,.500,2.2,6.7,8.9,13.4,4.5,0.0,4.5,8.9,15.6,,84,104
Cole Aldrich,2011,22,OKC,NBA,C,18,0,142,2.9,5.5,.533,0.0,0.0,,2.9,5.5,.533,0.7,1.5,.500,4.7,8.0,12.8,1.5,1.8,2.6,2.9,10.9,6.6,,98,104
Cole Aldrich,2012,23,OKC,NBA,C,26,0,173,6.6,12.5,.524,0.0,0.0,,6.6,12.5,.524,3.9,4.2,.929,3.9,10.4,14.3,0.9,2.4,4.8,2.7,6.6,17.0,,113,96
Cole Aldrich,2013,24,TOT,NBA,C,45,0,388,5.7,10.4,.550,0.0,0.0,,5.7,10.4,.550,1.6,2.6,.600,3.9,11.7,15.6,1.2,0.7,3.0,3.0,7.8,13.0,,102,105
