Álex Abrines,per_minute.2017,23,OKC,NBA,SG,5,0,80,3.6,10.4,0.348,2.3,7.7,0.294,1.4,2.7,0.5,1.4,1.8,0.75,0.9,3.2,4.1,1.8,0,0,0,3.6,10.8
Álex Abrines,per_minute.2018,24,OKC,NBA,SG,6,0,110,2.6,6.5,0.4,2,4.3,0.462,0.7,2.3,0.286,0.7,0.7,1,1,4.3,5.2,0.7,1.6,0.7,0.3,3.6,7.9
Steven Adams,per_minute.2014,20,OKC,NBA,C,18,0,331,3.4,4.9,0.689,0,0,,3.4,4.9,0.689,0.9,2.5,0.348,2.4,5.7,8,0.4,0.1,2.6,1.1,5.2,7.6
Steven Adams,per_minute.2016,22,OKC,NBA,C,18,18,553,4.4,7.2,0.613,0,0.1,0,4.4,7.2,0.618,3,4.8,0.63,4,7.1,11.1,0.8,0.6,0.9,1.1,3.6,11.8
Steven Adams,per_minute.2017,23,OKC,NBA,C,5,5,157,4.1,6.4,0.643,0,0,,4.1,6.4,0.643,0.9,2.5,0.364,3.9,3.9,7.8,1.6,1.4,2.1,0.9,3.2,9.2
Steven Adams,per_minute.2018,24,OKC,NBA,C,6,6,200,4.9,8.3,0.587,0,0,,4.9,8.3,0.587,1.6,2.3,0.692,3.4,4.7,8.1,1.6,0.7,0.7,0.7,2.7,11.3
Steven Adams,per_minute.2019,25,OKC,NBA,C,5,5,159,6.3,9.5,0.667,0,0.2,0,6.3,9.3,0.683,0.7,1.8,0.375,2.7,5.4,8.2,1.6,1.1,1.1,2,2.9,13.4
Bam Adebayo,per_minute.2018,20,MIA,NBA,C,5,0,77,3.3,7,0.467,0,0.5,0,3.3,6.5,0.5,1.4,6.5,0.214,4.2,5.1,9.4,0,0,0.9,0.9,3.7,7.9
Alexis Ajinça,per_minute.2015,26,NOP,NBA,C,3,0,10,14.4,14.4,1,0,0,,14.4,14.4,1,0,0,,0,3.6,3.6,3.6,3.6,0,0,7.2,28.8
Cole Aldrich,per_minute.2012,23,OKC,NBA,C,5,0,25,5.8,13,0.444,0,0,,5.8,13,0.444,2.9,5.8,0.5,7.2,11.5,18.7,0,0,0,0,4.3,14.4
Cole Aldrich,per_minute.2016,27,LAC,NBA,C,6,0,77,4.7,7,0.667,0,0,,4.7,7,0.667,1.4,2.8,0.5,3.7,10.3,14,1.4,2.8,1.4,0.9,5.1,10.8
