Álex Abrines,e.2017,23,OKC,NBA,SG,68,6,1055,4.6,11.6,.393,3.2,8.4,.381,1.4,3.2,.426,1.5,1.7,.898,0.6,2.3,2.9,1.4,1.3,0.3,1.1,3.9,13.9
Álex Abrines,e.2018,24,OKC,NBA,SG,75,8,1134,3.7,9.2,.395,2.7,7.0,.380,1.0,2.2,.443,1.2,1.5,.848,0.8,2.8,3.6,0.9,1.2,0.3,0.8,3.9,11.2
Álex Abrines,e.2019,25,OKC,NBA,SG,31,2,588,3.4,9.6,.357,2.5,7.8,.323,0.9,1.8,.500,0.7,0.8,.923,0.3,2.6,2.9,1.2,1.0,0.4,0.9,3.2,10.1
Quincy Acy,e.2013,22,TOR,NBA,PF,29,0,342,4.4,7.9,.560,0.1,0.2,.500,4.3,7.7,.562,3.3,4.0,.816,3.2,4.9,8.1,1.2,1.4,1.6,1.8,5.6,12.2
Quincy Acy,e.2014,23,TOT,NBA,SF,63,0,847,2.8,6.0,.468,0.2,0.6,.267,2.6,5.4,.492,1.5,2.3,.660,3.1,6.1,9.2,1.2,1.0,1.1,1.3,5.2,7.3
Quincy Acy,e.2014,23,TOR,NBA,SF,7,0,61,3.5,8.3,.429,1.2,3.0,.400,2.4,5.3,.444,3.0,4.7,.625,3.0,5.9,8.9,2.4,2.4,1.8,1.2,4.7,11.2
Quincy Acy,e.2014,23,SAC,NBA,SF,56,0,786,2.7,5.8,.472,0.1,0.5,.200,2.7,5.4,.496,1.4,2.1,.667,3.1,6.1,9.2,1.1,0.9,1.1,1.3,5.2,7.0
Quincy Acy,e.2015,24,NYK,NBA,PF,68,22,1287,4.3,9.3,.459,0.5,1.7,.300,3.7,7.6,.494,2.1,2.7,.784,2.2,6.2,8.4,1.9,0.8,0.6,1.7,4.1,11.1
Quincy Acy,e.2016,25,SAC,NBA,PF,59,29,876,4.9,8.8,.556,0.8,2.0,.388,4.1,6.8,.606,2.1,2.8,.735,2.7,5.1,7.7,1.1,1.2,1.0,1.1,4.2,12.6
Quincy Acy,e.2017,26,TOT,NBA,PF,38,1,558,4.5,11.0,.412,2.4,5.8,.411,2.1,5.2,.413,2.9,3.9,.750,1.3,6.1,7.4,1.2,0.9,1.0,1.4,4.3,14.3
Quincy Acy,e.2017,26,DAL,NBA,PF,6,0,48,3.7,12.7,.294,0.7,5.2,.143,3.0,7.5,.400,1.5,2.3,.667,1.5,4.5,6.0,0.0,0.0,0.0,1.5,6.8,9.7
Quincy Acy,e.2017,26,BRK,NBA,PF,32,1,510,4.6,10.8,.425,2.5,5.9,.434,2.0,4.9,.414,3.0,4.0,.754,1.3,6.3,7.6,1.3,1.0,1.1,1.3,4.1,14.8
Quincy Acy,e.2018,27,BRK,NBA,PF,70,8,1359,3.4,9.7,.356,2.7,7.7,.349,0.7,1.9,.384,1.3,1.6,.817,1.1,5.7,6.8,1.5,0.9,0.8,1.6,3.9,10.9
Quincy Acy,e.2019,28,PHO,NBA,PF,10,0,123,1.2,5.3,.222,0.6,4.4,.133,0.6,0.9,.667,2.0,2.9,.700,0.9,6.4,7.3,2.3,0.3,1.2,1.2,7.0,5.0
Jaylen Adams,e.2019,22,ATL,NBA,PG,34,1,428,3.2,9.3,.345,2.1,6.2,.338,1.1,3.0,.361,0.6,0.8,.778,0.9,4.1,5.0,5.5,1.2,0.4,2.4,3.8,9.1
Steven Adams,e.2014,20,OKC,NBA,C,81,20,1197,2.8,5.6,.503,0.0,0.0,,2.8,5.6,.503,2.4,4.1,.581,4.3,5.7,10.0,1.3,1.2,1.7,2.1,6.1,8.0
Steven Adams,e.2015,21,OKC,NBA,C,70,67,1771,4.4,8.1,.544,0.0,0.0,.000,4.4,8.1,.547,2.1,4.2,.502,4.0,6.6,10.6,1.3,0.8,1.7,2.0,4.5,10.9
Steven Adams,e.2016,22,OKC,NBA,C,80,80,2014,4.7,7.6,.613,0.0,0.0,,4.7,7.6,.613,2.0,3.5,.582,3.9,5.6,9.5,1.1,0.8,1.6,1.5,4.0,11.4
Steven Adams,e.2017,23,OKC,NBA,C,80,80,2389,5.6,9.9,.571,0.0,0.0,.000,5.6,9.9,.572,2.4,3.9,.611,4.2,5.0,9.2,1.3,1.3,1.2,2.2,2.9,13.6
Steven Adams,e.2018,24,OKC,NBA,C,76,76,2487,6.5,10.3,.629,0.0,0.0,.000,6.5,10.3,.631,2.3,4.1,.559,5.6,4.4,9.9,1.3,1.3,1.1,1.9,3.1,15.3
Steven Adams,e.2019,25,OKC,NBA,C,80,80,2669,6.5,10.9,.595,0.0,0.0,.000,6.5,10.9,.596,2.0,3.9,.500,5.3,5.0,10.3,1.7,1.6,1.0,1.8,2.8,14.9
Steven Adams,e.2020,26,OKC,NBA,C,58,58,1564,6.0,10.2,.591,0.0,0.1,.333,6.0,10.1,.593,2.5,4.2,.590,4.5,8.0,12.5,3.2,1.2,1.5,2.0,2.6,14.6
Bam Adebayo,e.2018,20,MIA,NBA,C,69,19,1368,4.6,8.9,.512,0.0,0.2,.000,4.6,8.8,.523,3.4,4.7,.721,3.1,6.9,10.0,2.7,0.8,1.1,1.7,3.6,12.6
Bam Adebayo,e.2019,21,MIA,NBA,C,82,28,1913,5.3,9.1,.576,0.1,0.3,.200,5.2,8.9,.588,3.1,4.3,.735,3.1,8.1,11.2,3.5,1.3,1.2,2.3,3.8,13.7
Bam Adebayo,e.2020,22,MIA,NBA,PF,65,65,2235,6.6,11.6,.567,0.0,0.2,.077,6.6,11.4,.576,3.8,5.5,.690,2.7,8.3,11.0,5.4,1.3,1.4,3.0,2.6,17.0
Deng Adel,e.2019,21,CLE,NBA,SF,19,3,194,2.0,6.7,.306,1.1,4.3,.261,0.9,2.4,.385,0.7,0.7,1.000,0.6,3.0,3.5,0.9,0.2,0.7,1.1,2.4,5.9
Alexis Ajinça,e.2009,20,CHA,NBA,PF,31,4,182,4.9,13.6,.362,0.0,0.4,.000,4.9,13.3,.373,4.0,5.5,.714,1.8,4.2,5.9,0.6,1.4,1.2,2.4,6.7,13.8
Alexis Ajinça,e.2010,21,CHA,NBA,C,6,0,30,6.0,12.0,.500,0.0,0.0,,6.0,12.0,.500,0.0,1.2,.000,1.2,3.6,4.8,0.0,1.2,1.2,2.4,6.0,12.0
Alexis Ajinça,e.2011,22,TOT,NBA,C,34,2,340,6.2,14.1,.444,1.3,3.6,.353,5.0,10.5,.475,1.4,1.9,.722,1.8,6.5,8.3,1.1,1.2,2.0,1.9,7.7,15.1
Alexis Ajinça,e.2011,22,DAL,NBA,C,10,2,75,5.8,15.4,.375,1.4,3.4,.429,4.3,12.0,.360,1.0,1.4,.667,2.4,5.8,8.2,1.0,1.4,2.4,0.5,6.2,13.9
Alexis Ajinça,e.2011,22,TOR,NBA,C,24,0,265,6.4,13.7,.465,1.2,3.7,.333,5.2,10.1,.514,1.5,2.0,.733,1.6,6.7,8.3,1.1,1.1,1.9,2.3,8.2,15.5
Alexis Ajinça,e.2014,25,NOP,NBA,C,56,30,951,5.1,9.4,.546,0.0,0.0,.000,5.1,9.4,.548,2.1,2.5,.836,3.6,6.9,10.5,1.5,0.9,1.7,2.4,7.1,12.4
Alexis Ajinça,e.2015,26,NOP,NBA,C,68,8,957,6.8,12.4,.550,0.0,0.0,,6.8,12.4,.550,3.0,3.7,.818,3.9,7.9,11.8,1.8,0.8,1.9,2.6,5.7,16.7
Alexis Ajinça,e.2016,27,NOP,NBA,C,59,17,861,6.3,13.2,.476,0.0,0.0,.000,6.3,13.1,.478,2.2,2.6,.839,3.1,8.1,11.2,1.3,0.8,1.5,2.3,5.6,14.7
Alexis Ajinça,e.2017,28,NOP,NBA,C,39,15,584,5.5,11.0,.500,0.0,0.2,.000,5.5,10.7,.511,1.8,2.5,.725,2.8,8.1,10.9,0.7,1.2,1.4,1.9,4.7,12.8
