Álex Abrines,advanced.2017,23,OKC,NBA,SG,5,80,7,0.485,0.739,0.174,2.6,10,6.1,7.1,0,0,0,13.3,,0.1,0,0.1,0.033,,-2.8,-1.9,-4.7,-0.1
Álex Abrines,advanced.2018,24,OKC,NBA,SG,6,110,9.5,0.575,0.65,0.1,2.9,12.3,7.7,2.6,2.2,1.7,4.6,8.7,,0.1,0.1,0.2,0.107,,-1.3,1.9,0.5,0.1
Steven Adams,advanced.2014,20,OKC,NBA,C,18,331,11,0.635,0,0.511,8,16.9,12.7,1.9,0.2,5.4,15.4,9,,0.3,0.4,0.7,0.099,,-1.7,1.5,-0.2,0.2
Steven Adams,advanced.2016,22,OKC,NBA,C,18,553,16.8,0.636,0.009,0.658,12.7,21.6,17.2,3.5,0.8,2,10.6,12.6,,1.5,0.6,2.1,0.179,,1.5,0.3,1.8,0.5
Steven Adams,advanced.2017,23,OKC,NBA,C,5,157,15.4,0.609,0,0.393,11.1,12.4,11.7,6.5,1.9,5.5,10.9,10,,0.3,0.1,0.4,0.116,,-0.5,0.9,0.5,0.1
Steven Adams,advanced.2018,24,OKC,NBA,C,6,200,16,0.609,0,0.283,10.2,13.6,11.9,7,1,1.8,7.2,12.2,,0.5,0.2,0.7,0.158,,1.6,-0.3,1.3,0.2
Steven Adams,advanced.2019,25,OKC,NBA,C,5,159,15.7,0.648,0.024,0.19,8.1,16.6,12.3,7.2,1.5,2.6,16.5,14.6,,0.2,0.1,0.3,0.103,,-0.1,1.9,1.8,0.2
Bam Adebayo,advanced.2018,20,MIA,NBA,C,5,77,6.1,0.402,0.067,0.933,12.1,15.4,13.7,0,0,2.2,8.6,13,,-0.1,0,-0.1,-0.036,,-4.3,-4.5,-8.8,-0.1
Alexis Ajinça,advanced.2015,26,NOP,NBA,C,3,10,42,1,0,0,0,10.9,5.5,26.9,5.2,0,0,18.3,,0.1,0,0.1,0.366,,10.9,7.9,18.8,0.1
Cole Aldrich,advanced.2012,23,OKC,NBA,C,5,25,19.8,0.465,0,0.444,24.4,37.7,31.1,0,0,0,0,20.2,,0.1,0,0.1,0.177,,0.8,-5.8,-5,0
Cole Aldrich,advanced.2016,27,LAC,NBA,C,6,77,21.4,0.652,0,0.4,10.4,28.1,19.3,6,4,3.3,10.2,11.4,,0.2,0.2,0.4,0.254,,1.1,3.3,4.4,0.1
LaMarcus Aldridge,advanced.2009,23,POR,NBA,PF,6,237,18.6,0.519,0.038,0.192,4.4,20.9,11.9,7,0.7,3.6,8.1,26.3,,0.2,0.2,0.3,0.069,,1.5,-0.6,0.9,0.2
LaMarcus Aldridge,advanced.2010,24,POR,NBA,PF,6,229,17.5,0.507,0.022,0.473,5.1,14.6,9.7,11.1,1.7,4.4,8.9,25.8,,0.2,0,0.2,0.043,,0.7,0.7,1.3,0.2
