Álex Abrines,pbp.2017,23,OKC,NBA,SG,5,80,,73%,27%,,,-28.1,-29,0,0,6,0,0,2,9,0,1
Álex Abrines,pbp.2018,24,OKC,NBA,SG,6,110,3%,94%,3%,,,8.4,21.6,1,0,7,0,0,2,6,0,2
Steven Adams,pbp.2014,20,OKC,NBA,C,18,331,,,,,100%,-6,-7.3,4,3,19,3,10,0,11,4,2
Steven Adams,pbp.2016,22,OKC,NBA,C,18,553,,,,,100%,3.7,-4.2,2,5,20,8,24,3,34,4,15
Steven Adams,pbp.2017,23,OKC,NBA,C,5,157,,,,,100%,5,40.7,1,2,10,0,3,0,18,1,3
Steven Adams,pbp.2018,24,OKC,NBA,C,6,200,,,,,100%,-4,3.3,2,2,7,0,3,1,23,0,7
Steven Adams,pbp.2019,25,OKC,NBA,C,5,159,,,,,100%,-11.4,-14.2,3,1,7,4,4,0,20,2,5
Bam Adebayo,pbp.2018,20,MIA,NBA,C,5,77,,,,,100%,-11.3,-1.7,0,0,2,1,7,2,0,0,1
Alexis Ajinça,pbp.2015,26,NOP,NBA,C,3,10,,,,,100%,-34.5,-28.2,0,0,1,0,0,0,2,0,0
Cole Aldrich,pbp.2012,23,OKC,NBA,C,5,25,,,,,100%,-22.3,-26.8,0,0,1,0,2,0,0,0,2
Cole Aldrich,pbp.2016,27,LAC,NBA,C,6,77,,,,1%,100%,-1.4,-1.9,1,0,4,1,2,1,8,1,0
LaMarcus Aldridge,pbp.2009,23,POR,NBA,PF,6,237,,,,87%,13%,-4.6,8.8,1,5,7,4,9,2,19,2,3
LaMarcus Aldridge,pbp.2010,24,POR,NBA,PF,6,229,,,,90%,10%,-9.7,10.7,2,2,7,4,16,0,31,0,1
LaMarcus Aldridge,pbp.2011,25,POR,NBA,PF,6,258,,,,57%,43%,-12.4,-51.8,2,6,8,0,10,3,18,0,4
LaMarcus Aldridge,pbp.2014,28,POR,NBA,PF,11,441,,,,66%,35%,-3.1,19.2,4,7,22,7,34,1,41,9,7
LaMarcus Aldridge,pbp.2015,29,POR,NBA,PF,5,208,,,,99%,1%,-13.2,-24.7,1,5,6,2,18,2,21,4,9
LaMarcus Aldridge,pbp.2016,30,SAS,NBA,PF,10,337,,,,56%,44%,9.6,-1.4,5,3,11,1,20,0,24,5,3
LaMarcus Aldridge,pbp.2017,31,SAS,NBA,PF,16,537,,,,50%,51%,-4.5,-16.2,8,11,25,6,27,1,58,9,5
LaMarcus Aldridge,pbp.2018,32,SAS,NBA,C,5,177,,,,22%,78%,-9.5,-1.2,3,4,5,0,22,0,29,6,7
LaMarcus Aldridge,pbp.2019,33,SAS,NBA,C,7,244,,,,,100%,-3.9,-8,2,4,9,0,12,0,45,1,3
