Álex Abrines,2017,23,OKC,NBA,SG,68,1055,0.393,20.6,0.276,0.12,0.047,0.044,0.065,0.724,0.426,0.488,0.438,0.333,0.364,0.381,0.6,0.015,5,0.968,0.231,0.404,2,0
Álex Abrines,2018,24,OKC,NBA,SG,75,1134,0.395,20.3,0.241,0.127,0.041,0.027,0.041,0.759,0.443,0.595,0.25,0.625,0.083,0.38,0.548,0.034,9,1,0.253,0.375,1,0
Álex Abrines,2019,25,OKC,NBA,SG,31,588,0.357,22.3,0.191,0.102,0.025,0.019,0.045,0.809,0.5,0.5,0.5,0.333,0.571,0.323,0.8,0.006,1,0.951,0.205,0.385,2,0
Quincy Acy,2013,22,TOR,NBA,PF,29,342,0.56,7.9,0.973,0.573,0.08,0.053,0.267,0.027,0.562,0.651,0.5,0.5,0.4,0.5,0.732,0.267,19,1,0.5,1,0,0
Quincy Acy,2014,23,TOT,NBA,SF,63,847,0.468,8.1,0.894,0.461,0.22,0.05,0.163,0.106,0.492,0.6,0.387,0.429,0.348,0.267,0.694,0.191,25,1,0.667,0.3,0,0
Quincy Acy,2014,23,TOR,NBA,SF,7,61,0.429,14.1,0.643,0.357,0.071,0,0.214,0.357,0.444,0.6,1,,0,0.4,0.75,0.143,2,1,0.4,0.5,0,0
Quincy Acy,2014,23,SAC,NBA,SF,56,786,0.472,7.5,0.921,0.472,0.236,0.055,0.157,0.079,0.496,0.6,0.367,0.429,0.4,0.2,0.69,0.197,23,1,0.8,0.25,0,0
Quincy Acy,2015,24,NYK,NBA,PF,68,1287,0.459,12.8,0.819,0.296,0.094,0.133,0.296,0.181,0.494,0.673,0.419,0.409,0.378,0.3,0.724,0.106,33,1,0.383,0.261,1,0
Quincy Acy,2016,25,SAC,NBA,PF,59,876,0.556,9.7,0.771,0.458,0.121,0.037,0.154,0.229,0.606,0.735,0.385,0.5,0.424,0.388,0.71,0.215,43,0.947,0.347,0.529,0,0
Quincy Acy,2017,26,TOT,NBA,PF,38,558,0.412,16.2,0.471,0.265,0.065,0.076,0.059,0.529,0.413,0.489,0.273,0.308,0.4,0.411,0.727,0.035,6,0.973,0.278,0.36,1,0
Quincy Acy,2017,26,DAL,NBA,PF,6,48,0.294,15.4,0.588,0.235,0.118,0.059,0.118,0.412,0.4,0.5,0.5,1,0,0.143,0.75,0.118,2,1,0.286,0.5,0,0
Quincy Acy,2017,26,BRK,NBA,PF,32,510,0.425,16.3,0.458,0.268,0.059,0.078,0.052,0.542,0.414,0.488,0.222,0.25,0.5,0.434,0.724,0.026,4,0.972,0.277,0.348,1,0
Quincy Acy,2018,27,BRK,NBA,PF,70,1359,0.356,20.7,0.2,0.115,0.027,0.025,0.033,0.8,0.384,0.5,0,0.333,0.333,0.349,0.857,0.036,9,0.99,0.305,0.404,0,0
Quincy Acy,2019,28,PHO,NBA,PF,10,123,0.222,21.7,0.167,0.111,0,0.056,0,0.833,0.667,1,,0,,0.133,1,0,0,1,0.333,0.2,0,0
Jaylen Adams,2019,22,ATL,NBA,PG,34,428,0.345,20.2,0.327,0.118,0.082,0.073,0.055,0.673,0.361,0.538,0.111,0.25,0.5,0.338,0.231,0,0,0.84,0.149,0.182,1,0
Steven Adams,2014,20,OKC,NBA,C,81,1197,0.503,3.2,1,0.659,0.292,0.043,0.005,0,0.503,0.615,0.296,0.25,0,,0.613,0.162,26,,,,0,0
